time,latitude,longitude,timezone,type,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility
2015-01-01 05:00:00,38.8483,-77.0342,America/New_York,historical,Clear,clear-night,0,0,none,23.9,23.9,15.19,0.69,1024.4,0.03,0.29,262,0.0,0,7.884
2015-01-01 06:00:00,38.8483,-77.0342,America/New_York,historical,Clear,clear-night,0,0,none,23.37,23.37,15.27,0.71,1024.4,0.05,0.72,270,0.08,0,8.251
2015-01-01 07:00:00,38.8483,-77.0342,America/New_York,historical,Clear,clear-night,0,0,none,23.16,23.16,15.19,0.71,1024.1,0.12,0.31,183,0.0,0,8.036
2015-01-01 08:00:00,38.8483,-77.0342,America/New_York,historical,Clear,clear-night,0,0,none,23.29,23.29,14.54,0.69,1023.9,0.17,0.46,199,0.0,0,9.14
2015-01-01 09:00:00,38.8483,-77.0342,America/New_York,historical,Clear,clear-night,0,0,none,24.12,24.12,14.04,0.65,1023.3,0.28,1.29,208,0.0,0,8.279
2015-01-01 10:00:00,38.8483,-77.0342,America/New_York,historical,Clear,clear-night,0,0,none,24.65,24.65,13.64,0.62,1023.1,0.27,0.88,206,0.0,0,8.036
2015-01-01 11:00:00,38.8483,-77.0342,America/New_York,historical,Clear,clear-night,0,0,none,24.5,24.5,14.0,0.64,1023.4,0.19,0.99,219,0.0,0,7.543
2015-01-01 12:00:00,38.8483,-77.0342,America/New_York,historical,Clear,clear-night,0,0,none,23.01,23.01,13.98,0.68,1023.1,0.05,0.21,206,0.13,0,9.997
2015-01-01 13:00:00,38.8483,-77.0342,America/New_York,historical,Clear,clear-day,0,0,none,23.35,23.35,14.49,0.68,1023.6,0.11,0.31,180,0.27,0,8.036
2015-01-01 14:00:00,38.8483,-77.0342,America/New_York,historical,Clear,clear-day,0,0,none,29.16,29.16,17.59,0.62,1024.6,1.42,3.32,225,0.14,0,8.755
2015-01-01 15:00:00,38.8483,-77.0342,America/New_York,historical,Clear,clear-day,0,0,none,33.73,30.96,18.23,0.53,1024.4,3.24,6.91,224,0.14,1,7.208
2015-01-01 16:00:00,38.8483,-77.0342,America/New_York,historical,Clear,clear-day,0,0,none,37.76,34.93,18.09,0.45,1023.4,3.79,8.84,229,0.14,2,7.584
2015-01-01 17:00:00,38.8483,-77.0342,America/New_York,historical,Clear,clear-day,0,0,none,40.31,36.84,17.39,0.39,1022.0,4.99,10.63,223,0.05,2,7.618
2015-01-01 18:00:00,38.8483,-77.0342,America/New_York,historical,Clear,clear-day,0,0,none,42.06,39.14,16.73,0.36,1020.2,4.67,11.55,222,0.02,2,6.795
2015-01-01 19:00:00,38.8483,-77.0342,America/New_York,historical,Clear,clear-day,0,0,none,43.07,40.15,16.91,0.34,1019.4,4.9,11.45,234,0.08,1,7.647
2015-01-01 20:00:00,38.8483,-77.0342,America/New_York,historical,Clear,clear-day,0,0,none,42.96,39.99,16.97,0.35,1019.1,4.94,10.53,229,0.23,1,7.855
2015-01-01 21:00:00,38.8483,-77.0342,America/New_York,historical,Clear,clear-day,0,0,none,43.07,40.72,17.75,0.36,1018.9,4.17,9.55,224,0.23,0,8.085
2015-01-01 22:00:00,38.8483,-77.0342,America/New_York,historical,Clear,clear-night,0,0,none,41.94,41.94,18.41,0.38,1018.9,1.57,4.3,206,0.21,0,7.572
2015-01-01 23:00:00,38.8483,-77.0342,America/New_York,historical,Clear,clear-night,0,0,none,39.5,39.5,19.0,0.43,1018.4,0.79,1.92,198,0.12,0,7.925
2015-01-02 00:00:00,38.8483,-77.0342,America/New_York,historical,Clear,clear-night,0,0,none,38.14,38.14,19.88,0.47,1018.5,1.06,2.88,203,0.12,0,6.609
2015-01-02 01:00:00,38.8483,-77.0342,America/New_York,historical,Clear,clear-night,0,0,none,38.26,38.26,20.64,0.49,1018.4,1.18,3.06,206,0.09,0,6.926
2015-01-02 02:00:00,38.8483,-77.0342,America/New_York,historical,Clear,clear-night,0,0,none,38.07,38.07,21.54,0.51,1018.5,1.71,4.68,214,0.13,0,7.956
2015-01-02 03:00:00,38.8483,-77.0342,America/New_York,historical,Clear,clear-night,0,0,none,38.02,38.02,22.48,0.53,1019.0,1.45,3.82,218,0.21,0,7.164
2015-01-02 04:00:00,38.8483,-77.0342,America/New_York,historical,Clear,clear-night,0,0,none,37.79,37.79,23.24,0.55,1019.0,0.78,1.77,237,0.21,0,5.975
2015-01-02 05:00:00,38.8483,-77.0342,America/New_York,historical,Clear,clear-night,0,0,none,35.61,35.61,23.23,0.6,1019.3,0.34,1.13,279.0,0.16,0,7.072
2015-01-02 06:00:00,38.8483,-77.0342,America/New_York,historical,Clear,clear-night,0,0,none,33.78,33.78,22.9,0.64,1019.8,0.26,0.8,310.0,0.29,0,7.41
2015-01-02 07:00:00,38.8483,-77.0342,America/New_York,historical,Clear,clear-night,0,0,none,32.52,32.52,22.75,0.67,1020.2,0.13,0.39,262.0,0.13,0,9.997
2015-01-02 08:00:00,38.8483,-77.0342,America/New_York,historical,Partly Cloudy,partly-cloudy-night,0,0,none,32.57,32.57,22.6,0.66,1021.1,0.22,0.75,274.0,0.48,0,7.388
2015-01-02 09:00:00,38.8483,-77.0342,America/New_York,historical,Clear,clear-night,0,0,none,32.63,32.63,22.37,0.66,1021.6,0.24,0.98,288.0,0.11,0,7.974
2015-01-02 10:00:00,38.8483,-77.0342,America/New_York,historical,Clear,clear-night,0,0,none,33.13,33.13,22.3,0.64,1022.0,0.34,1.21,272.0,0.13,0,7.052
