datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,row_is_current,version_nbr
11/1/2019 4:00:00 AM,11/1/2019 12:00:00 AM,51298,PEPCO,,,ZONE,,20.62,23.413849,2.864678,-0.070829,True,1
11/1/2019 5:00:00 AM,11/1/2019 1:00:00 AM,51298,PEPCO,,,ZONE,,20.56,23.841861,3.357263,-0.075402,True,1
11/1/2019 6:00:00 AM,11/1/2019 2:00:00 AM,51298,PEPCO,,,ZONE,,20.34,23.635872,3.370300,-0.074428,True,1
11/1/2019 7:00:00 AM,11/1/2019 3:00:00 AM,51298,PEPCO,,,ZONE,,20.54,23.918204,3.457150,-0.078946,True,1
11/1/2019 8:00:00 AM,11/1/2019 4:00:00 AM,51298,PEPCO,,,ZONE,,21.19,24.739086,3.608438,-0.059352,True,1
11/1/2019 9:00:00 AM,11/1/2019 5:00:00 AM,51298,PEPCO,,,ZONE,,24.29,28.371302,4.111133,-0.029831,True,1
11/1/2019 10:00:00 AM,11/1/2019 6:00:00 AM,51298,PEPCO,,,ZONE,,32.04,38.315270,6.163829,0.111441,True,1
11/1/2019 11:00:00 AM,11/1/2019 7:00:00 AM,51298,PEPCO,,,ZONE,,39.39,47.689763,8.224217,0.075546,True,1
11/1/2019 12:00:00 PM,11/1/2019 8:00:00 AM,51298,PEPCO,,,ZONE,,33.23,39.205317,5.838081,0.137236,True,1
11/1/2019 1:00:00 PM,11/1/2019 9:00:00 AM,51298,PEPCO,,,ZONE,,30.77,35.901510,4.912769,0.218741,True,1
11/1/2019 2:00:00 PM,11/1/2019 10:00:00 AM,51298,PEPCO,,,ZONE,,30.34,35.143182,4.670484,0.132698,True,1
11/1/2019 3:00:00 PM,11/1/2019 11:00:00 AM,51298,PEPCO,,,ZONE,,29.06,33.755596,4.499588,0.196008,True,1
11/1/2019 4:00:00 PM,11/1/2019 12:00:00 PM,51298,PEPCO,,,ZONE,,27.28,31.172528,3.717895,0.174633,True,1
11/1/2019 5:00:00 PM,11/1/2019 1:00:00 PM,51298,PEPCO,,,ZONE,,26.54,30.580109,3.830839,0.209270,True,1
11/1/2019 6:00:00 PM,11/1/2019 2:00:00 PM,51298,PEPCO,,,ZONE,,24.85,28.437591,3.393983,0.193608,True,1
11/1/2019 7:00:00 PM,11/1/2019 3:00:00 PM,51298,PEPCO,,,ZONE,,23.85,27.205088,3.134849,0.220239,True,1
11/1/2019 8:00:00 PM,11/1/2019 4:00:00 PM,51298,PEPCO,,,ZONE,,24.86,28.909656,3.743721,0.305935,True,1
11/1/2019 9:00:00 PM,11/1/2019 5:00:00 PM,51298,PEPCO,,,ZONE,,27.91,32.268562,4.072923,0.285639,True,1
11/1/2019 10:00:00 PM,11/1/2019 6:00:00 PM,51298,PEPCO,,,ZONE,,31.56,37.417254,5.580985,0.276269,True,1
11/1/2019 11:00:00 PM,11/1/2019 7:00:00 PM,51298,PEPCO,,,ZONE,,31.62,37.798299,5.895357,0.282942,True,1
11/2/2019 12:00:00 AM,11/1/2019 8:00:00 PM,51298,PEPCO,,,ZONE,,31.01,36.697479,5.440595,0.246884,True,1
11/2/2019 1:00:00 AM,11/1/2019 9:00:00 PM,51298,PEPCO,,,ZONE,,27.98,31.743995,3.640623,0.123372,True,1
11/2/2019 2:00:00 AM,11/1/2019 10:00:00 PM,51298,PEPCO,,,ZONE,,25.40,28.458338,3.023054,0.035284,True,1
11/2/2019 3:00:00 AM,11/1/2019 11:00:00 PM,51298,PEPCO,,,ZONE,,23.97,26.297780,2.404862,-0.077082,True,1
11/2/2019 4:00:00 AM,11/2/2019 12:00:00 AM,51298,PEPCO,,,ZONE,,26.92,28.474041,1.884807,-0.330766,True,1
11/2/2019 5:00:00 AM,11/2/2019 1:00:00 AM,51298,PEPCO,,,ZONE,,24.72,26.795875,2.406935,-0.331060,True,1
11/2/2019 6:00:00 AM,11/2/2019 2:00:00 AM,51298,PEPCO,,,ZONE,,23.48,26.433943,3.288518,-0.334575,True,1
11/2/2019 7:00:00 AM,11/2/2019 3:00:00 AM,51298,PEPCO,,,ZONE,,23.37,26.464548,3.422699,-0.328151,True,1
11/2/2019 8:00:00 AM,11/2/2019 4:00:00 AM,51298,PEPCO,,,ZONE,,24.43,26.778096,2.659831,-0.311735,True,1
11/2/2019 9:00:00 AM,11/2/2019 5:00:00 AM,51298,PEPCO,,,ZONE,,26.30,28.680029,2.481253,-0.101224,True,1
11/2/2019 10:00:00 AM,11/2/2019 6:00:00 AM,51298,PEPCO,,,ZONE,,31.25,36.941463,5.834535,-0.143072,True,1
11/2/2019 11:00:00 AM,11/2/2019 7:00:00 AM,51298,PEPCO,,,ZONE,,35.04,42.544646,7.612464,-0.107818,True,1
11/2/2019 12:00:00 PM,11/2/2019 8:00:00 AM,51298,PEPCO,,,ZONE,,36.40,42.157906,5.955102,-0.197196,True,1
11/2/2019 1:00:00 PM,11/2/2019 9:00:00 AM,51298,PEPCO,,,ZONE,,33.15,39.227974,6.240370,-0.162396,True,1
11/2/2019 2:00:00 PM,11/2/2019 10:00:00 AM,51298,PEPCO,,,ZONE,,30.71,37.226897,6.623193,-0.106296,True,1
11/2/2019 3:00:00 PM,11/2/2019 11:00:00 AM,51298,PEPCO,,,ZONE,,26.14,31.482468,5.365826,-0.023358,True,1
11/2/2019 4:00:00 PM,11/2/2019 12:00:00 PM,51298,PEPCO,,,ZONE,,23.88,28.277989,4.439211,-0.041222,True,1
11/2/2019 5:00:00 PM,11/2/2019 1:00:00 PM,51298,PEPCO,,,ZONE,,23.23,27.857538,4.679766,-0.052228,True,1
11/2/2019 6:00:00 PM,11/2/2019 2:00:00 PM,51298,PEPCO,,,ZONE,,22.42,27.126579,4.685578,0.021001,True,1
11/2/2019 7:00:00 PM,11/2/2019 3:00:00 PM,51298,PEPCO,,,ZONE,,22.36,26.675345,4.239305,0.076040,True,1
11/2/2019 8:00:00 PM,11/2/2019 4:00:00 PM,51298,PEPCO,,,ZONE,,22.92,27.387913,4.351666,0.116247,True,1
11/2/2019 9:00:00 PM,11/2/2019 5:00:00 PM,51298,PEPCO,,,ZONE,,24.32,28.865456,4.404140,0.141316,True,1
11/2/2019 10:00:00 PM,11/2/2019 6:00:00 PM,51298,PEPCO,,,ZONE,,30.65,37.806509,6.750050,0.406459,True,1
11/2/2019 11:00:00 PM,11/2/2019 7:00:00 PM,51298,PEPCO,,,ZONE,,32.13,40.501569,7.927738,0.443831,True,1
11/3/2019 12:00:00 AM,11/2/2019 8:00:00 PM,51298,PEPCO,,,ZONE,,30.25,37.183052,6.574838,0.358214,True,1
11/3/2019 1:00:00 AM,11/2/2019 9:00:00 PM,51298,PEPCO,,,ZONE,,28.48,34.542828,5.899195,0.163633,True,1
11/3/2019 2:00:00 AM,11/2/2019 10:00:00 PM,51298,PEPCO,,,ZONE,,24.02,28.245213,4.124382,0.100831,True,1
11/3/2019 3:00:00 AM,11/2/2019 11:00:00 PM,51298,PEPCO,,,ZONE,,23.74,27.993296,4.123915,0.129381,True,1
