datetime_beginning_utc,datetime_beginning_ept,interface_limit_name,flow_mw,limit_mw
1/1/2015 5:00:00 AM,1/1/2015 12:00:00 AM,BCPEP,5281,5600
1/1/2015 6:00:00 AM,1/1/2015 1:00:00 AM,BCPEP,5164,5600
1/1/2015 7:00:00 AM,1/1/2015 2:00:00 AM,BCPEP,5035,5600
1/1/2015 8:00:00 AM,1/1/2015 3:00:00 AM,BCPEP,5164,5600
1/1/2015 9:00:00 AM,1/1/2015 4:00:00 AM,BCPEP,5127,5600
1/1/2015 10:00:00 AM,1/1/2015 5:00:00 AM,BCPEP,4950,5600
1/1/2015 11:00:00 AM,1/1/2015 6:00:00 AM,BCPEP,5240,5600
1/1/2015 12:00:00 PM,1/1/2015 7:00:00 AM,BCPEP,5364,5900
1/1/2015 1:00:00 PM,1/1/2015 8:00:00 AM,BCPEP,5369,5900
1/1/2015 2:00:00 PM,1/1/2015 9:00:00 AM,BCPEP,5086,5900
1/1/2015 3:00:00 PM,1/1/2015 10:00:00 AM,BCPEP,5196,5900
1/1/2015 4:00:00 PM,1/1/2015 11:00:00 AM,BCPEP,5352,5900
1/1/2015 5:00:00 PM,1/1/2015 12:00:00 PM,BCPEP,5391,5900
1/1/2015 6:00:00 PM,1/1/2015 1:00:00 PM,BCPEP,5278,5900
1/1/2015 7:00:00 PM,1/1/2015 2:00:00 PM,BCPEP,4959,5900
1/1/2015 8:00:00 PM,1/1/2015 3:00:00 PM,BCPEP,4895,5900
1/1/2015 9:00:00 PM,1/1/2015 4:00:00 PM,BCPEP,5403,5900
1/1/2015 10:00:00 PM,1/1/2015 5:00:00 PM,BCPEP,5900,5900
1/1/2015 11:00:00 PM,1/1/2015 6:00:00 PM,BCPEP,5900,5900
1/2/2015 12:00:00 AM,1/1/2015 7:00:00 PM,BCPEP,5900,5900
1/2/2015 1:00:00 AM,1/1/2015 8:00:00 PM,BCPEP,5900,5900
1/2/2015 2:00:00 AM,1/1/2015 9:00:00 PM,BCPEP,5652,5900
1/2/2015 3:00:00 AM,1/1/2015 10:00:00 PM,BCPEP,5170,5900
1/2/2015 4:00:00 AM,1/1/2015 11:00:00 PM,BCPEP,5091,5600
1/2/2015 5:00:00 AM,1/2/2015 12:00:00 AM,BCPEP,4486,5600
1/2/2015 6:00:00 AM,1/2/2015 1:00:00 AM,BCPEP,4464,5600
1/2/2015 7:00:00 AM,1/2/2015 2:00:00 AM,BCPEP,4279,5600
1/2/2015 8:00:00 AM,1/2/2015 3:00:00 AM,BCPEP,4026,5600
1/2/2015 9:00:00 AM,1/2/2015 4:00:00 AM,BCPEP,4082,5600
1/2/2015 10:00:00 AM,1/2/2015 5:00:00 AM,BCPEP,4616,5600
1/2/2015 11:00:00 AM,1/2/2015 6:00:00 AM,BCPEP,5183,5600
1/2/2015 12:00:00 PM,1/2/2015 7:00:00 AM,BCPEP,5144,5800
1/2/2015 1:00:00 PM,1/2/2015 8:00:00 AM,BCPEP,4804,5800
1/2/2015 2:00:00 PM,1/2/2015 9:00:00 AM,BCPEP,4901,5800
1/2/2015 3:00:00 PM,1/2/2015 10:00:00 AM,BCPEP,5293,5800
1/2/2015 4:00:00 PM,1/2/2015 11:00:00 AM,BCPEP,4976,5800
1/2/2015 5:00:00 PM,1/2/2015 12:00:00 PM,BCPEP,4929,5800
1/2/2015 6:00:00 PM,1/2/2015 1:00:00 PM,BCPEP,4688,5800
1/2/2015 7:00:00 PM,1/2/2015 2:00:00 PM,BCPEP,4588,5800
1/2/2015 8:00:00 PM,1/2/2015 3:00:00 PM,BCPEP,4382,5800
1/2/2015 9:00:00 PM,1/2/2015 4:00:00 PM,BCPEP,4768,5800
1/2/2015 10:00:00 PM,1/2/2015 5:00:00 PM,BCPEP,5505,5800
1/2/2015 11:00:00 PM,1/2/2015 6:00:00 PM,BCPEP,5323,5800
1/3/2015 12:00:00 AM,1/2/2015 7:00:00 PM,BCPEP,5080,5800
1/3/2015 1:00:00 AM,1/2/2015 8:00:00 PM,BCPEP,5228,5800
1/3/2015 2:00:00 AM,1/2/2015 9:00:00 PM,BCPEP,4894,5800
1/3/2015 3:00:00 AM,1/2/2015 10:00:00 PM,BCPEP,4191,5800
1/3/2015 4:00:00 AM,1/2/2015 11:00:00 PM,BCPEP,4234,5600
1/3/2015 5:00:00 AM,1/3/2015 12:00:00 AM,BCPEP,4895,5400
1/3/2015 6:00:00 AM,1/3/2015 1:00:00 AM,BCPEP,4790,5400
1/3/2015 7:00:00 AM,1/3/2015 2:00:00 AM,BCPEP,4435,5400
1/3/2015 8:00:00 AM,1/3/2015 3:00:00 AM,BCPEP,4505,5400
1/3/2015 9:00:00 AM,1/3/2015 4:00:00 AM,BCPEP,4483,5400
1/3/2015 10:00:00 AM,1/3/2015 5:00:00 AM,BCPEP,4504,5400
1/3/2015 11:00:00 AM,1/3/2015 6:00:00 AM,BCPEP,4736,5400
1/3/2015 12:00:00 PM,1/3/2015 7:00:00 AM,BCPEP,5097,6000
1/3/2015 1:00:00 PM,1/3/2015 8:00:00 AM,BCPEP,5472,6000
1/3/2015 2:00:00 PM,1/3/2015 9:00:00 AM,BCPEP,5398,6000
1/3/2015 3:00:00 PM,1/3/2015 10:00:00 AM,BCPEP,5800,6000
1/3/2015 4:00:00 PM,1/3/2015 11:00:00 AM,BCPEP,5675,6000
1/3/2015 5:00:00 PM,1/3/2015 12:00:00 PM,BCPEP,5391,6000
1/3/2015 6:00:00 PM,1/3/2015 1:00:00 PM,BCPEP,5178,6000
1/3/2015 7:00:00 PM,1/3/2015 2:00:00 PM,BCPEP,4878,6000
1/3/2015 8:00:00 PM,1/3/2015 3:00:00 PM,BCPEP,4886,6000
1/3/2015 9:00:00 PM,1/3/2015 4:00:00 PM,BCPEP,5368,6000
1/3/2015 10:00:00 PM,1/3/2015 5:00:00 PM,BCPEP,6000,6000
1/3/2015 11:00:00 PM,1/3/2015 6:00:00 PM,BCPEP,5313,6000
1/4/2015 12:00:00 AM,1/3/2015 7:00:00 PM,BCPEP,5322,6000
1/4/2015 1:00:00 AM,1/3/2015 8:00:00 PM,BCPEP,5061,6000
1/4/2015 2:00:00 AM,1/3/2015 9:00:00 PM,BCPEP,4832,6000
1/4/2015 3:00:00 AM,1/3/2015 10:00:00 PM,BCPEP,4111,6000
1/4/2015 4:00:00 AM,1/3/2015 11:00:00 PM,BCPEP,3644,5400
1/4/2015 5:00:00 AM,1/4/2015 12:00:00 AM,BCPEP,4112,5000
1/4/2015 6:00:00 AM,1/4/2015 1:00:00 AM,BCPEP,4740,5000
1/4/2015 7:00:00 AM,1/4/2015 2:00:00 AM,BCPEP,4363,5000
1/4/2015 8:00:00 AM,1/4/2015 3:00:00 AM,BCPEP,3955,5000
1/4/2015 9:00:00 AM,1/4/2015 4:00:00 AM,BCPEP,3867,5000
1/4/2015 10:00:00 AM,1/4/2015 5:00:00 AM,BCPEP,3833,5000
1/4/2015 11:00:00 AM,1/4/2015 6:00:00 AM,BCPEP,3756,5000
1/4/2015 12:00:00 PM,1/4/2015 7:00:00 AM,BCPEP,3757,5400
1/4/2015 1:00:00 PM,1/4/2015 8:00:00 AM,BCPEP,4262,5400
1/4/2015 2:00:00 PM,1/4/2015 9:00:00 AM,BCPEP,4418,5400
1/4/2015 3:00:00 PM,1/4/2015 10:00:00 AM,BCPEP,4648,5400
1/4/2015 4:00:00 PM,1/4/2015 11:00:00 AM,BCPEP,5016,5400
1/4/2015 5:00:00 PM,1/4/2015 12:00:00 PM,BCPEP,4970,5400
1/4/2015 6:00:00 PM,1/4/2015 1:00:00 PM,BCPEP,4415,5400
1/4/2015 7:00:00 PM,1/4/2015 2:00:00 PM,BCPEP,4128,5400
1/4/2015 8:00:00 PM,1/4/2015 3:00:00 PM,BCPEP,4313,5400
1/4/2015 9:00:00 PM,1/4/2015 4:00:00 PM,BCPEP,4682,5400
1/4/2015 10:00:00 PM,1/4/2015 5:00:00 PM,BCPEP,5215,5400
1/4/2015 11:00:00 PM,1/4/2015 6:00:00 PM,BCPEP,4956,5400
1/5/2015 12:00:00 AM,1/4/2015 7:00:00 PM,BCPEP,4992,5400
1/5/2015 1:00:00 AM,1/4/2015 8:00:00 PM,BCPEP,4975,5400
1/5/2015 2:00:00 AM,1/4/2015 9:00:00 PM,BCPEP,4743,5400
1/5/2015 3:00:00 AM,1/4/2015 10:00:00 PM,BCPEP,4257,5400
1/5/2015 4:00:00 AM,1/4/2015 11:00:00 PM,BCPEP,3978,5000
1/5/2015 5:00:00 AM,1/5/2015 12:00:00 AM,BCPEP,3944,5400
1/5/2015 6:00:00 AM,1/5/2015 1:00:00 AM,BCPEP,3506,5400
1/5/2015 7:00:00 AM,1/5/2015 2:00:00 AM,BCPEP,3518,5400
1/5/2015 8:00:00 AM,1/5/2015 3:00:00 AM,BCPEP,3412,5400
1/5/2015 9:00:00 AM,1/5/2015 4:00:00 AM,BCPEP,3548,5400
1/5/2015 10:00:00 AM,1/5/2015 5:00:00 AM,BCPEP,4383,5400
1/5/2015 11:00:00 AM,1/5/2015 6:00:00 AM,BCPEP,5059,5400
1/5/2015 12:00:00 PM,1/5/2015 7:00:00 AM,BCPEP,4811,5700
1/5/2015 1:00:00 PM,1/5/2015 8:00:00 AM,BCPEP,4757,5700
1/5/2015 2:00:00 PM,1/5/2015 9:00:00 AM,BCPEP,4854,5700
1/5/2015 3:00:00 PM,1/5/2015 10:00:00 AM,BCPEP,5117,5700
1/5/2015 4:00:00 PM,1/5/2015 11:00:00 AM,BCPEP,5038,5700
1/5/2015 5:00:00 PM,1/5/2015 12:00:00 PM,BCPEP,5171,5700
1/5/2015 6:00:00 PM,1/5/2015 1:00:00 PM,BCPEP,4922,5700
1/5/2015 7:00:00 PM,1/5/2015 2:00:00 PM,BCPEP,4991,5700
1/5/2015 8:00:00 PM,1/5/2015 3:00:00 PM,BCPEP,4989,5700
1/5/2015 9:00:00 PM,1/5/2015 4:00:00 PM,BCPEP,5573,5700
1/5/2015 10:00:00 PM,1/5/2015 5:00:00 PM,BCPEP,5700,5700
1/5/2015 11:00:00 PM,1/5/2015 6:00:00 PM,BCPEP,5700,5700
1/6/2015 12:00:00 AM,1/5/2015 7:00:00 PM,BCPEP,5615,5700
1/6/2015 1:00:00 AM,1/5/2015 8:00:00 PM,BCPEP,5700,5700
1/6/2015 2:00:00 AM,1/5/2015 9:00:00 PM,BCPEP,5355,5700
1/6/2015 3:00:00 AM,1/5/2015 10:00:00 PM,BCPEP,4952,5700
1/6/2015 4:00:00 AM,1/5/2015 11:00:00 PM,BCPEP,4694,5400
1/6/2015 5:00:00 AM,1/6/2015 12:00:00 AM,BCPEP,4247,5300
1/6/2015 6:00:00 AM,1/6/2015 1:00:00 AM,BCPEP,4533,5300
1/6/2015 7:00:00 AM,1/6/2015 2:00:00 AM,BCPEP,4556,5300
1/6/2015 8:00:00 AM,1/6/2015 3:00:00 AM,BCPEP,4484,5300
1/6/2015 9:00:00 AM,1/6/2015 4:00:00 AM,BCPEP,4929,5300
1/6/2015 10:00:00 AM,1/6/2015 5:00:00 AM,BCPEP,5206,5300
1/6/2015 11:00:00 AM,1/6/2015 6:00:00 AM,BCPEP,5300,5300
