datetime_beginning_utc,datetime_beginning_ept,interface_limit_name,flow_mw,limit_mw
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,APSOUTH,1477,3100
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,BCPEP,3188,5900
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,BED-BLA,687,1500
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,CENTRAL,-107,3700
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,EAST,3864,5900
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,WEST,1438,5400
1/1/2019 6:00:00 AM,1/1/2019 1:00:00 AM,APSOUTH,1404,3100
1/1/2019 6:00:00 AM,1/1/2019 1:00:00 AM,BCPEP,2929,5900
1/1/2019 6:00:00 AM,1/1/2019 1:00:00 AM,BED-BLA,607,1500
1/1/2019 6:00:00 AM,1/1/2019 1:00:00 AM,CENTRAL,-568,3700
1/1/2019 6:00:00 AM,1/1/2019 1:00:00 AM,EAST,3537,5900
1/1/2019 6:00:00 AM,1/1/2019 1:00:00 AM,WEST,924,5400
1/1/2019 7:00:00 AM,1/1/2019 2:00:00 AM,APSOUTH,1575,3100
1/1/2019 7:00:00 AM,1/1/2019 2:00:00 AM,BCPEP,2965,5900
1/1/2019 7:00:00 AM,1/1/2019 2:00:00 AM,BED-BLA,594,1500
1/1/2019 7:00:00 AM,1/1/2019 2:00:00 AM,CENTRAL,-819,3700
1/1/2019 7:00:00 AM,1/1/2019 2:00:00 AM,EAST,3349,5900
1/1/2019 7:00:00 AM,1/1/2019 2:00:00 AM,WEST,688,5400
1/1/2019 8:00:00 AM,1/1/2019 3:00:00 AM,APSOUTH,1599,3100
1/1/2019 8:00:00 AM,1/1/2019 3:00:00 AM,BCPEP,3024,5900
1/1/2019 8:00:00 AM,1/1/2019 3:00:00 AM,BED-BLA,573,1500
1/1/2019 8:00:00 AM,1/1/2019 3:00:00 AM,CENTRAL,-1358,3700
