forecast_execution_date_ept,forecast_date,forecast_gen_outage_mw_rto,forecast_gen_outage_mw_west,forecast_gen_outage_mw_other
1/1/2016 12:00:00 AM,1/2/2016 12:00:00 AM,3628,2091,1537
1/1/2016 12:00:00 AM,1/3/2016 12:00:00 AM,3628,2091,1537
1/1/2016 12:00:00 AM,1/4/2016 12:00:00 AM,3798,2261,1537
1/1/2016 12:00:00 AM,1/5/2016 12:00:00 AM,3807,2261,1546
1/1/2016 12:00:00 AM,1/6/2016 12:00:00 AM,3021,2261,760
1/1/2016 12:00:00 AM,1/7/2016 12:00:00 AM,3021,2261,760
1/1/2016 12:00:00 AM,1/8/2016 12:00:00 AM,3012,2261,751
1/1/2016 12:00:00 AM,1/9/2016 12:00:00 AM,2922,2171,751
1/1/2016 12:00:00 AM,1/10/2016 12:00:00 AM,2922,2171,751
1/1/2016 12:00:00 AM,1/11/2016 12:00:00 AM,2420,2171,249
1/1/2016 12:00:00 AM,1/12/2016 12:00:00 AM,2425,2171,254
1/1/2016 12:00:00 AM,1/13/2016 12:00:00 AM,2425,2171,254
1/1/2016 12:00:00 AM,1/14/2016 12:00:00 AM,2425,2171,254
1/1/2016 12:00:00 AM,1/15/2016 12:00:00 AM,2420,2171,249
1/1/2016 12:00:00 AM,1/16/2016 12:00:00 AM,2408,2171,237
1/1/2016 12:00:00 AM,1/17/2016 12:00:00 AM,2421,2171,250
1/1/2016 12:00:00 AM,1/18/2016 12:00:00 AM,2493,2171,322
1/1/2016 12:00:00 AM,1/19/2016 12:00:00 AM,2493,2171,322
1/1/2016 12:00:00 AM,1/20/2016 12:00:00 AM,2493,2171,322
1/1/2016 12:00:00 AM,1/21/2016 12:00:00 AM,2493,2171,322
1/1/2016 12:00:00 AM,1/22/2016 12:00:00 AM,2493,2171,322
1/1/2016 12:00:00 AM,1/23/2016 12:00:00 AM,2493,2171,322
1/1/2016 12:00:00 AM,1/24/2016 12:00:00 AM,2493,2171,322
1/1/2016 12:00:00 AM,1/25/2016 12:00:00 AM,2480,2171,309
1/1/2016 12:00:00 AM,1/26/2016 12:00:00 AM,2371,2171,200
1/1/2016 12:00:00 AM,1/27/2016 12:00:00 AM,2371,2171,200
1/1/2016 12:00:00 AM,1/28/2016 12:00:00 AM,2371,2171,200
1/1/2016 12:00:00 AM,1/29/2016 12:00:00 AM,2371,2171,200
1/1/2016 12:00:00 AM,1/30/2016 12:00:00 AM,3060,2860,200
1/1/2016 12:00:00 AM,1/31/2016 12:00:00 AM,3078,2860,218
1/1/2016 12:00:00 AM,2/1/2016 12:00:00 AM,3367,2910,457
1/1/2016 12:00:00 AM,2/2/2016 12:00:00 AM,3371,2910,461
1/1/2016 12:00:00 AM,2/3/2016 12:00:00 AM,2071,1610,461
1/1/2016 12:00:00 AM,2/4/2016 12:00:00 AM,2070,1609,461
1/1/2016 12:00:00 AM,2/5/2016 12:00:00 AM,2239,1560,679
1/1/2016 12:00:00 AM,2/6/2016 12:00:00 AM,2530,1560,970
1/1/2016 12:00:00 AM,2/7/2016 12:00:00 AM,2530,1560,970
1/1/2016 12:00:00 AM,2/8/2016 12:00:00 AM,2630,1660,970
1/1/2016 12:00:00 AM,2/9/2016 12:00:00 AM,2629,1659,970
1/1/2016 12:00:00 AM,2/10/2016 12:00:00 AM,2624,1609,1015
1/1/2016 12:00:00 AM,2/11/2016 12:00:00 AM,2526,1560,966
1/1/2016 12:00:00 AM,2/12/2016 12:00:00 AM,2526,1560,966
1/1/2016 12:00:00 AM,2/13/2016 12:00:00 AM,2578,1560,1018
1/1/2016 12:00:00 AM,2/14/2016 12:00:00 AM,2591,1560,1031
1/1/2016 12:00:00 AM,2/15/2016 12:00:00 AM,4657,2748,1909
1/1/2016 12:00:00 AM,2/16/2016 12:00:00 AM,4612,2748,1864
1/1/2016 12:00:00 AM,2/17/2016 12:00:00 AM,4568,2722,1846
1/1/2016 12:00:00 AM,2/18/2016 12:00:00 AM,4568,2722,1846
1/1/2016 12:00:00 AM,2/19/2016 12:00:00 AM,4568,2722,1846
1/1/2016 12:00:00 AM,2/20/2016 12:00:00 AM,5206,3360,1846
1/1/2016 12:00:00 AM,2/21/2016 12:00:00 AM,5206,3360,1846
1/1/2016 12:00:00 AM,2/22/2016 12:00:00 AM,5193,3360,1833
1/1/2016 12:00:00 AM,2/23/2016 12:00:00 AM,4963,3130,1833
1/1/2016 12:00:00 AM,2/24/2016 12:00:00 AM,4963,3130,1833
1/1/2016 12:00:00 AM,2/25/2016 12:00:00 AM,4918,3130,1788
1/1/2016 12:00:00 AM,2/26/2016 12:00:00 AM,5557,3769,1788
1/1/2016 12:00:00 AM,2/27/2016 12:00:00 AM,6009,4233,1776
1/1/2016 12:00:00 AM,2/28/2016 12:00:00 AM,6268,4383,1885
1/1/2016 12:00:00 AM,2/29/2016 12:00:00 AM,6268,4383,1885
1/1/2016 12:00:00 AM,3/1/2016 12:00:00 AM,10135,4451,5684
1/1/2016 12:00:00 AM,3/2/2016 12:00:00 AM,10713,4969,5744
1/1/2016 12:00:00 AM,3/3/2016 12:00:00 AM,10713,4969,5744
1/1/2016 12:00:00 AM,3/4/2016 12:00:00 AM,10848,4969,5879
1/1/2016 12:00:00 AM,3/5/2016 12:00:00 AM,17077,7960,9117
1/1/2016 12:00:00 AM,3/6/2016 12:00:00 AM,18145,8110,10035
1/1/2016 12:00:00 AM,3/7/2016 12:00:00 AM,18089,7960,10129
1/1/2016 12:00:00 AM,3/8/2016 12:00:00 AM,18089,7960,10129
1/1/2016 12:00:00 AM,3/9/2016 12:00:00 AM,16760,6825,9935
1/1/2016 12:00:00 AM,3/10/2016 12:00:00 AM,16760,6825,9935
1/1/2016 12:00:00 AM,3/11/2016 12:00:00 AM,16077,7027,9050
1/1/2016 12:00:00 AM,3/12/2016 12:00:00 AM,18478,7171,11307
1/1/2016 12:00:00 AM,3/13/2016 12:00:00 AM,19781,7321,12460
1/1/2016 12:00:00 AM,3/14/2016 12:00:00 AM,19893,7171,12722
1/1/2016 12:00:00 AM,3/15/2016 12:00:00 AM,19985,7263,12722
1/1/2016 12:00:00 AM,3/16/2016 12:00:00 AM,19985,7263,12722
1/1/2016 12:00:00 AM,3/17/2016 12:00:00 AM,20054,7263,12791
1/1/2016 12:00:00 AM,3/18/2016 12:00:00 AM,20527,7863,12664
1/1/2016 12:00:00 AM,3/19/2016 12:00:00 AM,23296,9479,13817
1/1/2016 12:00:00 AM,3/20/2016 12:00:00 AM,24619,10498,14121
1/1/2016 12:00:00 AM,3/21/2016 12:00:00 AM,24575,9868,14707
1/1/2016 12:00:00 AM,3/22/2016 12:00:00 AM,23685,9068,14617
1/1/2016 12:00:00 AM,3/23/2016 12:00:00 AM,25163,10179,14984
1/1/2016 12:00:00 AM,3/24/2016 12:00:00 AM,24913,10069,14844
1/1/2016 12:00:00 AM,3/25/2016 12:00:00 AM,25310,10069,15241
1/1/2016 12:00:00 AM,3/26/2016 12:00:00 AM,29269,12944,16325
1/1/2016 12:00:00 AM,3/27/2016 12:00:00 AM,29496,13167,16329
1/1/2016 12:00:00 AM,3/28/2016 12:00:00 AM,29257,12332,16925
1/1/2016 12:00:00 AM,3/29/2016 12:00:00 AM,29257,12332,16925
1/1/2016 12:00:00 AM,3/30/2016 12:00:00 AM,28486,12332,16154
1/1/2016 12:00:00 AM,3/31/2016 12:00:00 AM,28710,12332,16378
1/1/2016 12:00:00 AM,4/1/2016 12:00:00 AM,34246,14085,20161
12/31/2015 12:00:00 AM,1/1/2016 12:00:00 AM,3696,2171,1525
12/31/2015 12:00:00 AM,1/2/2016 12:00:00 AM,3628,2091,1537
12/31/2015 12:00:00 AM,1/3/2016 12:00:00 AM,3628,2091,1537
12/31/2015 12:00:00 AM,1/4/2016 12:00:00 AM,3798,2261,1537
12/31/2015 12:00:00 AM,1/5/2016 12:00:00 AM,3807,2261,1546
12/31/2015 12:00:00 AM,1/6/2016 12:00:00 AM,3021,2261,760
12/31/2015 12:00:00 AM,1/7/2016 12:00:00 AM,3021,2261,760
