forecast_execution_date_ept,forecast_date,region,total_outages_mw,planned_outages_mw,maintenance_outages_mw,forced_outages_mw
1/1/2017 12:00:00 AM,1/1/2017 12:00:00 AM,Mid Atlantic - Dominion,4614,1025,2633,956
1/1/2017 12:00:00 AM,1/1/2017 12:00:00 AM,PJM RTO,15572,2643,6879,6050
1/1/2017 12:00:00 AM,1/1/2017 12:00:00 AM,Western,10958,1618,4246,5094
1/1/2017 12:00:00 AM,1/2/2017 12:00:00 AM,Mid Atlantic - Dominion,4832,1025,2861,946
1/1/2017 12:00:00 AM,1/2/2017 12:00:00 AM,PJM RTO,14132,2643,6269,5220
1/1/2017 12:00:00 AM,1/2/2017 12:00:00 AM,Western,9300,1618,3408,4274
1/1/2017 12:00:00 AM,1/3/2017 12:00:00 AM,Mid Atlantic - Dominion,4118,1025,2208,885
1/1/2017 12:00:00 AM,1/3/2017 12:00:00 AM,PJM RTO,13381,2353,6208,4820
1/1/2017 12:00:00 AM,1/3/2017 12:00:00 AM,Western,9263,1328,4000,3935
1/1/2017 12:00:00 AM,1/4/2017 12:00:00 AM,Mid Atlantic - Dominion,4064,387,2828,849
1/1/2017 12:00:00 AM,1/4/2017 12:00:00 AM,PJM RTO,9621,1715,5464,2442
1/1/2017 12:00:00 AM,1/4/2017 12:00:00 AM,Western,5557,1328,2636,1593
1/1/2017 12:00:00 AM,1/5/2017 12:00:00 AM,Mid Atlantic - Dominion,3870,387,2644,839
1/1/2017 12:00:00 AM,1/5/2017 12:00:00 AM,PJM RTO,7765,1715,4338,1712
1/1/2017 12:00:00 AM,1/5/2017 12:00:00 AM,Western,3895,1328,1694,873
1/1/2017 12:00:00 AM,1/6/2017 12:00:00 AM,Mid Atlantic - Dominion,3194,387,1968,839
1/1/2017 12:00:00 AM,1/6/2017 12:00:00 AM,PJM RTO,7726,1715,4299,1712
1/1/2017 12:00:00 AM,1/6/2017 12:00:00 AM,Western,4532,1328,2331,873
1/1/2017 12:00:00 AM,1/7/2017 12:00:00 AM,Mid Atlantic - Dominion,2581,306,1534,741
1/1/2017 12:00:00 AM,1/7/2017 12:00:00 AM,PJM RTO,5716,581,4009,1126
1/1/2017 12:00:00 AM,1/7/2017 12:00:00 AM,Western,3135,275,2475,385
12/31/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Mid Atlantic - Dominion,5082,1025,2864,1193
12/31/2016 12:00:00 AM,12/31/2016 12:00:00 AM,PJM RTO,15956,2643,8430,4883
12/31/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Western,10874,1618,5566,3690
12/31/2016 12:00:00 AM,1/1/2017 12:00:00 AM,Mid Atlantic - Dominion,4538,1025,2687,826
12/31/2016 12:00:00 AM,1/1/2017 12:00:00 AM,PJM RTO,14794,2643,9149,3002
12/31/2016 12:00:00 AM,1/1/2017 12:00:00 AM,Western,10256,1618,6462,2176
12/31/2016 12:00:00 AM,1/2/2017 12:00:00 AM,Mid Atlantic - Dominion,4087,387,2874,826
12/31/2016 12:00:00 AM,1/2/2017 12:00:00 AM,PJM RTO,12133,2005,7126,3002
12/31/2016 12:00:00 AM,1/2/2017 12:00:00 AM,Western,8046,1618,4252,2176
12/31/2016 12:00:00 AM,1/3/2017 12:00:00 AM,Mid Atlantic - Dominion,3378,387,2221,770
12/31/2016 12:00:00 AM,1/3/2017 12:00:00 AM,PJM RTO,10585,1715,6263,2607
12/31/2016 12:00:00 AM,1/3/2017 12:00:00 AM,Western,7207,1328,4042,1837
12/31/2016 12:00:00 AM,1/4/2017 12:00:00 AM,Mid Atlantic - Dominion,3922,387,2781,754
12/31/2016 12:00:00 AM,1/4/2017 12:00:00 AM,PJM RTO,9773,1715,6494,1564
12/31/2016 12:00:00 AM,1/4/2017 12:00:00 AM,Western,5851,1328,3713,810
12/31/2016 12:00:00 AM,1/5/2017 12:00:00 AM,Mid Atlantic - Dominion,3714,387,2583,744
12/31/2016 12:00:00 AM,1/5/2017 12:00:00 AM,PJM RTO,7649,1715,4450,1484
12/31/2016 12:00:00 AM,1/5/2017 12:00:00 AM,Western,3935,1328,1867,740
12/31/2016 12:00:00 AM,1/6/2017 12:00:00 AM,Mid Atlantic - Dominion,3058,387,1927,744
12/31/2016 12:00:00 AM,1/6/2017 12:00:00 AM,PJM RTO,7630,1715,4431,1484
12/31/2016 12:00:00 AM,1/6/2017 12:00:00 AM,Western,4572,1328,2504,740
12/30/2016 12:00:00 AM,12/30/2016 12:00:00 AM,Mid Atlantic - Dominion,4425,1405,2074,946
12/30/2016 12:00:00 AM,12/30/2016 12:00:00 AM,PJM RTO,14063,3253,6682,4128
12/30/2016 12:00:00 AM,12/30/2016 12:00:00 AM,Western,9638,1848,4608,3182
12/30/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Mid Atlantic - Dominion,5227,1405,2890,932
12/30/2016 12:00:00 AM,12/31/2016 12:00:00 AM,PJM RTO,14510,3253,7731,3526
12/30/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Western,9283,1848,4841,2594
12/30/2016 12:00:00 AM,1/1/2017 12:00:00 AM,Mid Atlantic - Dominion,4003,1025,2185,793
12/30/2016 12:00:00 AM,1/1/2017 12:00:00 AM,PJM RTO,12456,2643,7847,1966
12/30/2016 12:00:00 AM,1/1/2017 12:00:00 AM,Western,8453,1618,5662,1173
12/30/2016 12:00:00 AM,1/2/2017 12:00:00 AM,Mid Atlantic - Dominion,4030,387,2850,793
12/30/2016 12:00:00 AM,1/2/2017 12:00:00 AM,PJM RTO,9360,2005,5854,1501
12/30/2016 12:00:00 AM,1/2/2017 12:00:00 AM,Western,5330,1618,3004,708
12/30/2016 12:00:00 AM,1/3/2017 12:00:00 AM,Mid Atlantic - Dominion,3160,387,2034,739
