datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2016 5:00:00 AM,1/1/2016 12:00:00 AM,RFC,MIDATL,PEP,PEPCO,2351.764,True
1/1/2016 6:00:00 AM,1/1/2016 1:00:00 AM,RFC,MIDATL,PEP,PEPCO,2325.194,True
1/1/2016 7:00:00 AM,1/1/2016 2:00:00 AM,RFC,MIDATL,PEP,PEPCO,2269.001,True
1/1/2016 8:00:00 AM,1/1/2016 3:00:00 AM,RFC,MIDATL,PEP,PEPCO,2273.126,True
1/1/2016 9:00:00 AM,1/1/2016 4:00:00 AM,RFC,MIDATL,PEP,PEPCO,2243.840,True
1/1/2016 10:00:00 AM,1/1/2016 5:00:00 AM,RFC,MIDATL,PEP,PEPCO,2339.301,True
1/1/2016 11:00:00 AM,1/1/2016 6:00:00 AM,RFC,MIDATL,PEP,PEPCO,2419.088,True
1/1/2016 12:00:00 PM,1/1/2016 7:00:00 AM,RFC,MIDATL,PEP,PEPCO,2414.122,True
1/1/2016 1:00:00 PM,1/1/2016 8:00:00 AM,RFC,MIDATL,PEP,PEPCO,2481.688,True
1/1/2016 2:00:00 PM,1/1/2016 9:00:00 AM,RFC,MIDATL,PEP,PEPCO,2543.962,True
1/1/2016 3:00:00 PM,1/1/2016 10:00:00 AM,RFC,MIDATL,PEP,PEPCO,2582.762,True
1/1/2016 4:00:00 PM,1/1/2016 11:00:00 AM,RFC,MIDATL,PEP,PEPCO,2621.063,True
1/1/2016 5:00:00 PM,1/1/2016 12:00:00 PM,RFC,MIDATL,PEP,PEPCO,2642.857,True
1/1/2016 6:00:00 PM,1/1/2016 1:00:00 PM,RFC,MIDATL,PEP,PEPCO,2657.497,True
1/1/2016 7:00:00 PM,1/1/2016 2:00:00 PM,RFC,MIDATL,PEP,PEPCO,2673.239,True
1/1/2016 8:00:00 PM,1/1/2016 3:00:00 PM,RFC,MIDATL,PEP,PEPCO,2666.378,True
1/1/2016 9:00:00 PM,1/1/2016 4:00:00 PM,RFC,MIDATL,PEP,PEPCO,2789.341,True
1/1/2016 10:00:00 PM,1/1/2016 5:00:00 PM,RFC,MIDATL,PEP,PEPCO,2968.643,True
1/1/2016 11:00:00 PM,1/1/2016 6:00:00 PM,RFC,MIDATL,PEP,PEPCO,2943.746,True
1/2/2016 12:00:00 AM,1/1/2016 7:00:00 PM,RFC,MIDATL,PEP,PEPCO,2960.829,True
1/2/2016 1:00:00 AM,1/1/2016 8:00:00 PM,RFC,MIDATL,PEP,PEPCO,2916.155,True
1/2/2016 2:00:00 AM,1/1/2016 9:00:00 PM,RFC,MIDATL,PEP,PEPCO,2869.052,True
1/2/2016 3:00:00 AM,1/1/2016 10:00:00 PM,RFC,MIDATL,PEP,PEPCO,2767.395,True
1/2/2016 4:00:00 AM,1/1/2016 11:00:00 PM,RFC,MIDATL,PEP,PEPCO,2659.245,True
1/2/2016 5:00:00 AM,1/2/2016 12:00:00 AM,RFC,MIDATL,PEP,PEPCO,2602.753,True
1/2/2016 6:00:00 AM,1/2/2016 1:00:00 AM,RFC,MIDATL,PEP,PEPCO,2505.252,True
1/2/2016 7:00:00 AM,1/2/2016 2:00:00 AM,RFC,MIDATL,PEP,PEPCO,2487.037,True
1/2/2016 8:00:00 AM,1/2/2016 3:00:00 AM,RFC,MIDATL,PEP,PEPCO,2415.366,True
