datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da
1/1/2016 5:00:00 AM,1/1/2016 12:00:00 AM,51298,PEPCO,,,AGGREGATE,,19.360000,19.603853,0.040000,0.203853,20.320000,20.996471,0.703161,-0.026690
1/1/2016 4:00:00 AM,12/31/2015 11:00:00 PM,51298,PEPCO,,,AGGREGATE,,16.490000,18.401794,1.772149,0.139646,21.650000,24.929154,3.366566,-0.087412
1/1/2016 3:00:00 AM,12/31/2015 10:00:00 PM,51298,PEPCO,,,AGGREGATE,,17.500000,19.175490,1.512339,0.163151,22.600000,25.766786,3.221728,-0.054942
1/1/2016 2:00:00 AM,12/31/2015 9:00:00 PM,51298,PEPCO,,,AGGREGATE,,17.890000,21.666433,3.579951,0.196483,26.050000,29.875482,3.791576,0.033906
1/1/2016 1:00:00 AM,12/31/2015 8:00:00 PM,51298,PEPCO,,,AGGREGATE,,19.860000,25.692020,5.614172,0.217847,27.630000,31.846816,4.197745,0.019071
1/1/2016 12:00:00 AM,12/31/2015 7:00:00 PM,51298,PEPCO,,,AGGREGATE,,19.900000,25.201100,5.080810,0.220291,28.840000,32.266922,3.441777,-0.014855
12/31/2015 11:00:00 PM,12/31/2015 6:00:00 PM,51298,PEPCO,,,AGGREGATE,,21.660000,27.304192,5.359425,0.284766,31.210000,35.072512,3.725826,0.136686
12/31/2015 10:00:00 PM,12/31/2015 5:00:00 PM,51298,PEPCO,,,AGGREGATE,,22.420000,29.291284,6.521837,0.349447,46.830000,54.820382,7.501302,0.489080
12/31/2015 9:00:00 PM,12/31/2015 4:00:00 PM,51298,PEPCO,,,AGGREGATE,,21.960000,23.346160,1.127573,0.258588,27.740000,30.559669,2.638446,0.181223
12/31/2015 8:00:00 PM,12/31/2015 3:00:00 PM,51298,PEPCO,,,AGGREGATE,,20.780000,23.250709,2.313720,0.156989,24.480000,27.389905,2.858155,0.051750
12/31/2015 7:00:00 PM,12/31/2015 2:00:00 PM,51298,PEPCO,,,AGGREGATE,,20.160000,23.569349,3.299088,0.110260,24.500000,27.808969,3.249291,0.059678
12/31/2015 6:00:00 PM,12/31/2015 1:00:00 PM,51298,PEPCO,,,AGGREGATE,,19.750000,24.417940,4.570003,0.097938,26.340000,31.215956,4.775352,0.100604
12/31/2015 5:00:00 PM,12/31/2015 12:00:00 PM,51298,PEPCO,,,AGGREGATE,,20.500000,23.968045,3.376891,0.091154,26.650000,31.394800,4.629187,0.115613
12/31/2015 4:00:00 PM,12/31/2015 11:00:00 AM,51298,PEPCO,,,AGGREGATE,,21.100000,23.320957,2.121752,0.099204,27.000000,31.477300,4.324710,0.152590
12/31/2015 3:00:00 PM,12/31/2015 10:00:00 AM,51298,PEPCO,,,AGGREGATE,,21.120000,22.775433,1.617782,0.037651,27.630000,32.078495,4.283356,0.165139
12/31/2015 2:00:00 PM,12/31/2015 9:00:00 AM,51298,PEPCO,,,AGGREGATE,,20.500000,21.561643,0.987327,0.074316,27.160000,31.521694,4.219062,0.142632
12/31/2015 1:00:00 PM,12/31/2015 8:00:00 AM,51298,PEPCO,,,AGGREGATE,,18.890000,21.556865,2.568736,0.098128,26.240000,31.208832,4.831371,0.137461
12/31/2015 12:00:00 PM,12/31/2015 7:00:00 AM,51298,PEPCO,,,AGGREGATE,,15.270000,17.028409,1.689098,0.069310,25.470000,30.223587,4.584483,0.169104
12/31/2015 11:00:00 AM,12/31/2015 6:00:00 AM,51298,PEPCO,,,AGGREGATE,,13.960000,15.294434,1.284362,0.050071,23.200000,26.227573,3.014801,0.012772
12/31/2015 10:00:00 AM,12/31/2015 5:00:00 AM,51298,PEPCO,,,AGGREGATE,,13.030000,14.089243,1.013417,0.045826,19.790000,21.728095,1.882181,0.055914
12/31/2015 9:00:00 AM,12/31/2015 4:00:00 AM,51298,PEPCO,,,AGGREGATE,,12.120000,12.442962,0.300066,0.022896,18.100000,18.904438,0.846332,-0.041894
12/31/2015 8:00:00 AM,12/31/2015 3:00:00 AM,51298,PEPCO,,,AGGREGATE,,11.790000,11.792063,0.000000,0.002063,17.430000,18.065219,0.723817,-0.088598
12/31/2015 7:00:00 AM,12/31/2015 2:00:00 AM,51298,PEPCO,,,AGGREGATE,,14.120000,14.132548,0.000000,0.012548,17.260000,18.038138,0.877756,-0.099618
12/31/2015 6:00:00 AM,12/31/2015 1:00:00 AM,51298,PEPCO,,,AGGREGATE,,15.550000,15.580026,0.000000,0.030026,18.220000,19.543064,1.400058,-0.076994
12/31/2015 5:00:00 AM,12/31/2015 12:00:00 AM,51298,PEPCO,,,AGGREGATE,,18.290000,18.353872,0.000000,0.063872,20.080000,21.008764,0.999010,-0.070246
12/31/2015 4:00:00 AM,12/30/2015 11:00:00 PM,51298,PEPCO,,,AGGREGATE,,19.980000,20.175668,0.103696,0.091972,19.990000,23.537354,3.615597,-0.068243
12/31/2015 3:00:00 AM,12/30/2015 10:00:00 PM,51298,PEPCO,,,AGGREGATE,,20.550000,22.536616,1.907070,0.079546,21.800000,24.555452,2.739976,0.015476
12/31/2015 2:00:00 AM,12/30/2015 9:00:00 PM,51298,PEPCO,,,AGGREGATE,,21.420000,22.747901,1.212291,0.115610,25.640000,28.684227,2.944346,0.099881
12/31/2015 1:00:00 AM,12/30/2015 8:00:00 PM,51298,PEPCO,,,AGGREGATE,,23.620000,24.515704,0.715634,0.180070,29.680000,33.066321,3.234841,0.151480
12/31/2015 12:00:00 AM,12/30/2015 7:00:00 PM,51298,PEPCO,,,AGGREGATE,,24.590000,24.941851,0.143454,0.208397,30.660000,33.709773,2.888513,0.161260
12/30/2015 11:00:00 PM,12/30/2015 6:00:00 PM,51298,PEPCO,,,AGGREGATE,,24.360000,24.725724,0.114957,0.250768,32.470000,35.608042,2.805190,0.332852
