Day,Hour,IsDuplicateHour,InterfaceLimitName,FlowMW,LimitMW
2019-11-21,1,,APSOUTH,2498,3500
2019-11-21,1,,BCPEP,3172,4900
2019-11-21,1,,BED-BLA,1116,1600
2019-11-21,1,,CENTRAL,38,3500
2019-11-21,1,,EAST,2516,4500
2019-11-21,1,,WEST,1057,5900
2019-11-21,2,,APSOUTH,2595,3500
2019-11-21,2,,BCPEP,3284,4900
2019-11-21,2,,BED-BLA,1159,1600
2019-11-21,2,,CENTRAL,108,3500
2019-11-21,2,,EAST,2571,4500
2019-11-21,2,,WEST,1198,5900
2019-11-21,3,,APSOUTH,2595,3500
2019-11-21,3,,BCPEP,3238,4900
2019-11-21,3,,BED-BLA,1177,1600
2019-11-21,3,,CENTRAL,93,3500
2019-11-21,3,,EAST,2596,4500
2019-11-21,3,,WEST,1160,5900
2019-11-21,4,,APSOUTH,2593,3500
2019-11-21,4,,BCPEP,3365,4900
2019-11-21,4,,BED-BLA,1206,1600
2019-11-21,4,,CENTRAL,112,3500
2019-11-21,4,,EAST,2667,4500
2019-11-21,4,,WEST,1219,5900
2019-11-21,5,,APSOUTH,2582,3500
2019-11-21,5,,BCPEP,3366,4900
2019-11-21,5,,BED-BLA,1210,1600
2019-11-21,5,,CENTRAL,238,3500
2019-11-21,5,,EAST,2617,4500
2019-11-21,5,,WEST,1399,5900
2019-11-21,6,,APSOUTH,2898,3500
2019-11-21,6,,BCPEP,3216,4900
2019-11-21,6,,BED-BLA,1300,1600
2019-11-21,6,,CENTRAL,487,3500
2019-11-21,6,,EAST,3542,4500
2019-11-21,6,,WEST,1693,5900
2019-11-21,7,,APSOUTH,2647,3500
2019-11-21,7,,BCPEP,3079,4900
2019-11-21,7,,BED-BLA,1286,1600
2019-11-21,7,,CENTRAL,407,3500
2019-11-21,7,,EAST,4527,5500
2019-11-21,7,,WEST,1507,5900
2019-11-21,8,,APSOUTH,2455,3600
2019-11-21,8,,BCPEP,2977,5200
2019-11-21,8,,BED-BLA,1228,1600
2019-11-21,8,,CENTRAL,467,3200
2019-11-21,8,,EAST,4588,6300
2019-11-21,8,,WEST,1498,5700
2019-11-21,9,,APSOUTH,2402,3600
2019-11-21,9,,BCPEP,2900,5200
2019-11-21,9,,BED-BLA,1120,1600
2019-11-21,9,,CENTRAL,286,3200
2019-11-21,9,,EAST,4204,6300
2019-11-21,9,,WEST,1210,5700
2019-11-21,10,,APSOUTH,2389,3600
2019-11-21,10,,BCPEP,2976,5200
2019-11-21,10,,BED-BLA,1092,1600
2019-11-21,10,,CENTRAL,266,3200
2019-11-21,10,,EAST,3792,6300
2019-11-21,10,,WEST,1177,5700
2019-11-21,11,,APSOUTH,2263,3600
2019-11-21,11,,BCPEP,2814,5200
2019-11-21,11,,BED-BLA,1019,1600
2019-11-21,11,,CENTRAL,280,3200
2019-11-21,11,,EAST,3668,6300
2019-11-21,11,,WEST,1181,5700
2019-11-21,12,,APSOUTH,2239,3600
2019-11-21,12,,BCPEP,3210,5200
2019-11-21,12,,BED-BLA,1018,1600
2019-11-21,12,,CENTRAL,267,3200
2019-11-21,12,,EAST,3622,6300
2019-11-21,12,,WEST,1250,5700
2019-11-21,13,,APSOUTH,2288,3600
2019-11-21,13,,BCPEP,3247,5200
2019-11-21,13,,BED-BLA,1020,1600
2019-11-21,13,,CENTRAL,203,3200
2019-11-21,13,,EAST,3115,6300
2019-11-21,13,,WEST,1177,5700
2019-11-21,14,,APSOUTH,2274,3600
2019-11-21,14,,BCPEP,3175,5200
2019-11-21,14,,BED-BLA,1017,1600
2019-11-21,14,,CENTRAL,319,3200
2019-11-21,14,,EAST,3263,6300
2019-11-21,14,,WEST,1342,5700
2019-11-21,15,,APSOUTH,2328,3600
2019-11-21,15,,BCPEP,3214,5200
2019-11-21,15,,BED-BLA,1008,1600
2019-11-21,15,,CENTRAL,365,3200
2019-11-21,15,,EAST,3339,6300
2019-11-21,15,,WEST,1421,5700
2019-11-21,16,,APSOUTH,2397,3600
2019-11-21,16,,BCPEP,3440,5200
2019-11-21,16,,BED-BLA,1061,1600
2019-11-21,16,,CENTRAL,393,3200
2019-11-21,16,,EAST,3435,6300
2019-11-21,16,,WEST,1498,5700
2019-11-21,17,,APSOUTH,3143,3600
2019-11-21,17,,BCPEP,3979,5200
2019-11-21,17,,BED-BLA,1089,1600
2019-11-21,17,,CENTRAL,766,3200
2019-11-21,17,,EAST,4172,6300
