Day,Location,Type,Hour,IsDuplicateHour,LMP,LossLMP,CongestionLMP
11/20/2019,51291,Public,1,,23.823532,-0.484806,0.248338
11/20/2019,51291,Public,2,,22.063194,-0.566541,-1.000265
11/20/2019,51291,Public,3,,21.261408,-0.65837,-0.970222
11/20/2019,51291,Public,4,,20.346101,-0.69399,-1.439909
11/20/2019,51291,Public,5,,20.501304,-0.619883,-2.008813
11/20/2019,51291,Public,6,,21.362369,-0.69493,-4.132701
11/20/2019,51291,Public,7,,27.992606,-0.601297,-9.396097
11/20/2019,51291,Public,8,,29.146746,-0.685543,-9.277711
11/20/2019,51291,Public,9,,26.691401,-0.666824,-8.541775
11/20/2019,51291,Public,10,,26.916771,-0.811008,-5.832221
11/20/2019,51291,Public,11,,26.322927,-0.840629,-7.486444
11/20/2019,51291,Public,12,,23.495989,-0.878257,-6.595754
11/20/2019,51291,Public,13,,21.952742,-0.874399,-5.382859
11/20/2019,51291,Public,14,,21.315632,-0.769919,-5.474449
11/20/2019,51291,Public,15,,21.168018,-0.641587,-5.670395
11/20/2019,51291,Public,16,,21.489737,-0.511755,-5.098508
11/20/2019,51291,Public,17,,25.524435,-0.507129,-5.918436
11/20/2019,51291,Public,18,,34.565304,-0.436286,-4.58841
11/20/2019,51291,Public,19,,29.462421,-0.542449,-4.74513
11/20/2019,51291,Public,20,,25.367839,-0.443418,-6.438743
11/20/2019,51291,Public,21,,26.939136,-0.524458,-4.386406
11/20/2019,51291,Public,22,,22.845217,-0.530362,-2.504421
11/20/2019,51291,Public,23,,21.58899,-0.555844,-1.385166
11/20/2019,51291,Public,24,,21.813005,-0.539945,-0.44705
11/20/2019,8445784,Public,1,,25.176133,0.470747,0.645386
11/20/2019,8445784,Public,2,,24.9214,0.484103,0.807297
11/20/2019,8445784,Public,3,,24.325686,0.515871,0.919815
11/20/2019,8445784,Public,4,,24.201513,0.520522,1.200991
11/20/2019,8445784,Public,5,,24.99378,0.481666,1.382114
11/20/2019,8445784,Public,6,,28.425434,0.576606,1.658828
11/20/2019,8445784,Public,7,,41.788701,0.475433,3.323268
11/20/2019,8445784,Public,8,,41.738412,0.557044,2.071368
11/20/2019,8445784,Public,9,,38.195466,0.517463,1.778003
11/20/2019,8445784,Public,10,,35.476987,0.548825,1.368162
11/20/2019,8445784,Public,11,,36.36166,0.620494,1.091166
11/20/2019,8445784,Public,12,,32.572817,0.633709,0.969108
11/20/2019,8445784,Public,13,,29.416589,0.591568,0.615021
11/20/2019,8445784,Public,14,,28.527012,0.52083,0.446182
11/20/2019,8445784,Public,15,,28.467843,0.464395,0.523448
11/20/2019,8445784,Public,16,,27.904753,0.405855,0.398898
11/20/2019,8445784,Public,17,,32.749861,0.517615,0.282246
11/20/2019,8445784,Public,18,,39.965184,0.482495,-0.107311
11/20/2019,8445784,Public,19,,35.902826,0.464132,0.688694
11/20/2019,8445784,Public,20,,33.627787,0.453051,0.924736
11/20/2019,8445784,Public,21,,33.184536,0.570774,0.763762
11/20/2019,8445784,Public,22,,27.055896,0.454779,0.721117
11/20/2019,8445784,Public,23,,24.88375,0.426294,0.927456
11/20/2019,8445784,Public,24,,24.220318,0.42905,0.991268
11/20/2019,8394954,Public,1,,24.425394,-0.197172,0.562566
11/20/2019,8394954,Public,2,,24.28897,-0.167633,0.826603
11/20/2019,8394954,Public,3,,23.60191,-0.163505,0.875415
11/20/2019,8394954,Public,4,,23.45677,-0.15684,1.13361
11/20/2019,8394954,Public,5,,24.367908,-0.165222,1.40313
11/20/2019,8394954,Public,6,,27.84972,-0.235985,1.895705
11/20/2019,8394954,Public,7,,41.729749,-0.242773,3.982522
11/20/2019,8394954,Public,8,,41.834434,-0.193517,2.917951
11/20/2019,8394954,Public,9,,38.688443,-0.119333,2.907776
11/20/2019,8394954,Public,10,,35.246947,-0.077521,1.764468
11/20/2019,8394954,Public,11,,35.652518,-0.069355,1.071873
11/20/2019,8394954,Public,12,,31.593552,-0.112581,0.736133
11/20/2019,8394954,Public,13,,28.449354,-0.157371,0.396725
11/20/2019,8394954,Public,14,,27.605019,-0.126329,0.171348
11/20/2019,8394954,Public,15,,27.70748,-0.071126,0.298606
11/20/2019,8394954,Public,16,,27.21448,-0.060486,0.174966
