Day,Location,Type,Hour,IsDuplicateHour,LMP,LossLMP,CongestionLMP
2019-11-15,51291,Public,1,,26.954921,0.653089,-0.028168
2019-11-15,51291,Public,2,,26.604581,0.502904,0.101677
2019-11-15,51291,Public,3,,26.112046,0.363041,-0.140995
2019-11-15,51291,Public,4,,25.953773,0.295587,-0.211814
2019-11-15,51291,Public,5,,26.731057,0.343694,-0.142637
2019-11-15,51291,Public,6,,27.5012,0.297692,-1.746492
2019-11-15,51291,Public,7,,36.517863,0.214052,-5.286189
2019-11-15,51291,Public,8,,37.459261,-0.001406,-8.009333
2019-11-15,51291,Public,9,,29.646063,-0.055805,-6.058132
2019-11-15,51291,Public,10,,28.453802,0.077766,-4.513964
2019-11-15,51291,Public,11,,26.546252,-0.299462,-4.594286
2019-11-15,51291,Public,12,,25.450286,-0.165437,-4.074277
2019-11-15,51291,Public,13,,24.719559,-0.181747,-3.088694
2019-11-15,51291,Public,14,,24.863276,-0.265468,-2.531256
2019-11-15,51291,Public,15,,24.951665,0.025669,-1.724004
2019-11-15,51291,Public,16,,25.335103,-0.010484,-1.324413
2019-11-15,51291,Public,17,,28.119199,0.234249,-1.38505
2019-11-15,51291,Public,18,,34.504506,-0.024517,-2.440977
2019-11-15,51291,Public,19,,29.318396,-0.290038,-3.231566
2019-11-15,51291,Public,20,,27.238425,-0.291622,-3.649953
2019-11-15,51291,Public,21,,27.938342,-0.344508,-0.87715
2019-11-15,51291,Public,22,,27.388575,-0.130088,-0.631337
2019-11-15,51291,Public,23,,25.519735,-0.330008,0.069743
2019-11-15,51291,Public,24,,25.118522,-0.337589,0.206111
2019-11-15,8445784,Public,1,,27.179787,-0.144735,0.994522
2019-11-15,8445784,Public,2,,26.952034,-0.092036,1.04407
2019-11-15,8445784,Public,3,,26.978525,-0.057831,1.146356
2019-11-15,8445784,Public,4,,27.000663,-0.020779,1.151442
2019-11-15,8445784,Public,5,,27.828882,-0.074154,1.373036
2019-11-15,8445784,Public,6,,31.290731,-0.054776,2.395507
2019-11-15,8445784,Public,7,,46.41703,-0.012586,4.839616
