datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,prelim_load_avg_hourly
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,1/1/2019 6:00:00 AM,1/1/2019 1:00:00 AM,MIDATL,25827.3
1/1/2019 6:00:00 AM,1/1/2019 1:00:00 AM,1/1/2019 7:00:00 AM,1/1/2019 2:00:00 AM,MIDATL,24734.3
1/1/2019 7:00:00 AM,1/1/2019 2:00:00 AM,1/1/2019 8:00:00 AM,1/1/2019 3:00:00 AM,MIDATL,23785.4
1/1/2019 8:00:00 AM,1/1/2019 3:00:00 AM,1/1/2019 9:00:00 AM,1/1/2019 4:00:00 AM,MIDATL,23158.5
1/1/2019 9:00:00 AM,1/1/2019 4:00:00 AM,1/1/2019 10:00:00 AM,1/1/2019 5:00:00 AM,MIDATL,22950.2
1/1/2019 10:00:00 AM,1/1/2019 5:00:00 AM,1/1/2019 11:00:00 AM,1/1/2019 6:00:00 AM,MIDATL,23233.2
1/1/2019 11:00:00 AM,1/1/2019 6:00:00 AM,1/1/2019 12:00:00 PM,1/1/2019 7:00:00 AM,MIDATL,23744.7
1/1/2019 12:00:00 PM,1/1/2019 7:00:00 AM,1/1/2019 1:00:00 PM,1/1/2019 8:00:00 AM,MIDATL,24044.2
1/1/2019 1:00:00 PM,1/1/2019 8:00:00 AM,1/1/2019 2:00:00 PM,1/1/2019 9:00:00 AM,MIDATL,24512.3
1/1/2019 2:00:00 PM,1/1/2019 9:00:00 AM,1/1/2019 3:00:00 PM,1/1/2019 10:00:00 AM,MIDATL,25512.3
1/1/2019 3:00:00 PM,1/1/2019 10:00:00 AM,1/1/2019 4:00:00 PM,1/1/2019 11:00:00 AM,MIDATL,26479.4
1/1/2019 4:00:00 PM,1/1/2019 11:00:00 AM,1/1/2019 5:00:00 PM,1/1/2019 12:00:00 PM,MIDATL,26980.3
1/1/2019 5:00:00 PM,1/1/2019 12:00:00 PM,1/1/2019 6:00:00 PM,1/1/2019 1:00:00 PM,MIDATL,26777.4
1/1/2019 6:00:00 PM,1/1/2019 1:00:00 PM,1/1/2019 7:00:00 PM,1/1/2019 2:00:00 PM,MIDATL,26533.0
1/1/2019 7:00:00 PM,1/1/2019 2:00:00 PM,1/1/2019 8:00:00 PM,1/1/2019 3:00:00 PM,MIDATL,26798.4
1/1/2019 8:00:00 PM,1/1/2019 3:00:00 PM,1/1/2019 9:00:00 PM,1/1/2019 4:00:00 PM,MIDATL,27358.2
1/1/2019 9:00:00 PM,1/1/2019 4:00:00 PM,1/1/2019 10:00:00 PM,1/1/2019 5:00:00 PM,MIDATL,28981.0
1/1/2019 10:00:00 PM,1/1/2019 5:00:00 PM,1/1/2019 11:00:00 PM,1/1/2019 6:00:00 PM,MIDATL,31440.4
1/1/2019 11:00:00 PM,1/1/2019 6:00:00 PM,1/2/2019 12:00:00 AM,1/1/2019 7:00:00 PM,MIDATL,31570.7
1/2/2019 12:00:00 AM,1/1/2019 7:00:00 PM,1/2/2019 1:00:00 AM,1/1/2019 8:00:00 PM,MIDATL,31290.6
1/2/2019 1:00:00 AM,1/1/2019 8:00:00 PM,1/2/2019 2:00:00 AM,1/1/2019 9:00:00 PM,MIDATL,30724.2
1/2/2019 2:00:00 AM,1/1/2019 9:00:00 PM,1/2/2019 3:00:00 AM,1/1/2019 10:00:00 PM,MIDATL,29576.0
1/2/2019 3:00:00 AM,1/1/2019 10:00:00 PM,1/2/2019 4:00:00 AM,1/1/2019 11:00:00 PM,MIDATL,27906.6
