evaluated_at_datetime_utc,evaluated_at_datetime_ept,forecast_datetime_beginning_utc,forecast_datetime_beginning_ept,forecast_datetime_ending_utc,forecast_datetime_ending_ept,forecast_area,forecast_load_mw
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/15/2019 5:00:00 AM,11/15/2019 12:00:00 AM,11/15/2019 6:00:00 AM,11/15/2019 1:00:00 AM,MID_ATLANTIC_REGION,28438
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/15/2019 6:00:00 AM,11/15/2019 1:00:00 AM,11/15/2019 7:00:00 AM,11/15/2019 2:00:00 AM,MID_ATLANTIC_REGION,27854
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/15/2019 7:00:00 AM,11/15/2019 2:00:00 AM,11/15/2019 8:00:00 AM,11/15/2019 3:00:00 AM,MID_ATLANTIC_REGION,27627
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/15/2019 8:00:00 AM,11/15/2019 3:00:00 AM,11/15/2019 9:00:00 AM,11/15/2019 4:00:00 AM,MID_ATLANTIC_REGION,27841
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/15/2019 9:00:00 AM,11/15/2019 4:00:00 AM,11/15/2019 10:00:00 AM,11/15/2019 5:00:00 AM,MID_ATLANTIC_REGION,28722
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/15/2019 10:00:00 AM,11/15/2019 5:00:00 AM,11/15/2019 11:00:00 AM,11/15/2019 6:00:00 AM,MID_ATLANTIC_REGION,30823
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/15/2019 11:00:00 AM,11/15/2019 6:00:00 AM,11/15/2019 12:00:00 PM,11/15/2019 7:00:00 AM,MID_ATLANTIC_REGION,34103
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/15/2019 12:00:00 PM,11/15/2019 7:00:00 AM,11/15/2019 1:00:00 PM,11/15/2019 8:00:00 AM,MID_ATLANTIC_REGION,35285
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/15/2019 1:00:00 PM,11/15/2019 8:00:00 AM,11/15/2019 2:00:00 PM,11/15/2019 9:00:00 AM,MID_ATLANTIC_REGION,34765
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/15/2019 2:00:00 PM,11/15/2019 9:00:00 AM,11/15/2019 3:00:00 PM,11/15/2019 10:00:00 AM,MID_ATLANTIC_REGION,32710
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/15/2019 3:00:00 PM,11/15/2019 10:00:00 AM,11/15/2019 4:00:00 PM,11/15/2019 11:00:00 AM,MID_ATLANTIC_REGION,31494
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/15/2019 4:00:00 PM,11/15/2019 11:00:00 AM,11/15/2019 5:00:00 PM,11/15/2019 12:00:00 PM,MID_ATLANTIC_REGION,30726
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/15/2019 5:00:00 PM,11/15/2019 12:00:00 PM,11/15/2019 6:00:00 PM,11/15/2019 1:00:00 PM,MID_ATLANTIC_REGION,30509
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/15/2019 6:00:00 PM,11/15/2019 1:00:00 PM,11/15/2019 7:00:00 PM,11/15/2019 2:00:00 PM,MID_ATLANTIC_REGION,30492
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/15/2019 7:00:00 PM,11/15/2019 2:00:00 PM,11/15/2019 8:00:00 PM,11/15/2019 3:00:00 PM,MID_ATLANTIC_REGION,30674
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/15/2019 8:00:00 PM,11/15/2019 3:00:00 PM,11/15/2019 9:00:00 PM,11/15/2019 4:00:00 PM,MID_ATLANTIC_REGION,31468
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/15/2019 9:00:00 PM,11/15/2019 4:00:00 PM,11/15/2019 10:00:00 PM,11/15/2019 5:00:00 PM,MID_ATLANTIC_REGION,32852
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/15/2019 10:00:00 PM,11/15/2019 5:00:00 PM,11/15/2019 11:00:00 PM,11/15/2019 6:00:00 PM,MID_ATLANTIC_REGION,34682
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/15/2019 11:00:00 PM,11/15/2019 6:00:00 PM,11/16/2019 12:00:00 AM,11/15/2019 7:00:00 PM,MID_ATLANTIC_REGION,34668
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/16/2019 12:00:00 AM,11/15/2019 7:00:00 PM,11/16/2019 1:00:00 AM,11/15/2019 8:00:00 PM,MID_ATLANTIC_REGION,34198
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/16/2019 1:00:00 AM,11/15/2019 8:00:00 PM,11/16/2019 2:00:00 AM,11/15/2019 9:00:00 PM,MID_ATLANTIC_REGION,33408
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/16/2019 2:00:00 AM,11/15/2019 9:00:00 PM,11/16/2019 3:00:00 AM,11/15/2019 10:00:00 PM,MID_ATLANTIC_REGION,32277
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/16/2019 3:00:00 AM,11/15/2019 10:00:00 PM,11/16/2019 4:00:00 AM,11/15/2019 11:00:00 PM,MID_ATLANTIC_REGION,30669
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/16/2019 4:00:00 AM,11/15/2019 11:00:00 PM,11/16/2019 5:00:00 AM,11/16/2019 12:00:00 AM,MID_ATLANTIC_REGION,29052
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/16/2019 5:00:00 AM,11/16/2019 12:00:00 AM,11/16/2019 6:00:00 AM,11/16/2019 1:00:00 AM,MID_ATLANTIC_REGION,28079
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/16/2019 6:00:00 AM,11/16/2019 1:00:00 AM,11/16/2019 7:00:00 AM,11/16/2019 2:00:00 AM,MID_ATLANTIC_REGION,27399
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/16/2019 7:00:00 AM,11/16/2019 2:00:00 AM,11/16/2019 8:00:00 AM,11/16/2019 3:00:00 AM,MID_ATLANTIC_REGION,27033
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/16/2019 8:00:00 AM,11/16/2019 3:00:00 AM,11/16/2019 9:00:00 AM,11/16/2019 4:00:00 AM,MID_ATLANTIC_REGION,26968
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/16/2019 9:00:00 AM,11/16/2019 4:00:00 AM,11/16/2019 10:00:00 AM,11/16/2019 5:00:00 AM,MID_ATLANTIC_REGION,27391
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/16/2019 10:00:00 AM,11/16/2019 5:00:00 AM,11/16/2019 11:00:00 AM,11/16/2019 6:00:00 AM,MID_ATLANTIC_REGION,28312
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/16/2019 11:00:00 AM,11/16/2019 6:00:00 AM,11/16/2019 12:00:00 PM,11/16/2019 7:00:00 AM,MID_ATLANTIC_REGION,29477
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/16/2019 12:00:00 PM,11/16/2019 7:00:00 AM,11/16/2019 1:00:00 PM,11/16/2019 8:00:00 AM,MID_ATLANTIC_REGION,30447
