evaluated_at_datetime_utc,evaluated_at_datetime_ept,forecast_datetime_beginning_utc,forecast_datetime_beginning_ept,forecast_datetime_ending_utc,forecast_datetime_ending_ept,forecast_area,forecast_load_mw
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/21/2019 5:00:00 AM,11/21/2019 12:00:00 AM,11/21/2019 6:00:00 AM,11/21/2019 1:00:00 AM,PEPCO/MIDATL,2690
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/21/2019 6:00:00 AM,11/21/2019 1:00:00 AM,11/21/2019 7:00:00 AM,11/21/2019 2:00:00 AM,PEPCO/MIDATL,2717
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/21/2019 7:00:00 AM,11/21/2019 2:00:00 AM,11/21/2019 8:00:00 AM,11/21/2019 3:00:00 AM,PEPCO/MIDATL,2691
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/21/2019 8:00:00 AM,11/21/2019 3:00:00 AM,11/21/2019 9:00:00 AM,11/21/2019 4:00:00 AM,PEPCO/MIDATL,2720
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/21/2019 9:00:00 AM,11/21/2019 4:00:00 AM,11/21/2019 10:00:00 AM,11/21/2019 5:00:00 AM,PEPCO/MIDATL,2851
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/21/2019 10:00:00 AM,11/21/2019 5:00:00 AM,11/21/2019 11:00:00 AM,11/21/2019 6:00:00 AM,PEPCO/MIDATL,3165
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/21/2019 11:00:00 AM,11/21/2019 6:00:00 AM,11/21/2019 12:00:00 PM,11/21/2019 7:00:00 AM,PEPCO/MIDATL,3604
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/21/2019 12:00:00 PM,11/21/2019 7:00:00 AM,11/21/2019 1:00:00 PM,11/21/2019 8:00:00 AM,PEPCO/MIDATL,3838
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/21/2019 1:00:00 PM,11/21/2019 8:00:00 AM,11/21/2019 2:00:00 PM,11/21/2019 9:00:00 AM,PEPCO/MIDATL,3800
11/21/2019 2:17:26 PM,11/21/2019 9:17:26 AM,11/21/2019 2:00:00 PM,11/21/2019 9:00:00 AM,11/21/2019 3:00:00 PM,11/21/2019 10:00:00 AM,PEPCO/MIDATL,3692
